Iconuc,Tabarnuc,NucPlusUltra,Gazby,Pégaz,Samagaz,Omaïgaz,Gastafiore,Igaznodon,Coron,Mockingjay,Lantier,Tacotac,TicEtTac,Cogén,Hydro,STEP turbinage,Puissance résiduelle,STEP pompage,Conso,Conso nette,Puissance excès,Stock d'eau de notre modèle
900.0 , 900.0 , 1300.0 , 248.0 , 394.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2226, -0.0,7768,5542.0,0.0 ,62.461131
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 572.0 ,-0.0,1840, -0.0,7312,5472.0,0.0 ,62.50456552380953
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 254.0 ,0.0,1799, -0.0,6953,5154.0,0.0 ,62.50714290476191
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 507.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,1745, -0.0,6552,4807.0,0.0 ,62.53243457142859
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 444.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,1637, -0.0,6381,4744.0,0.0 ,62.57586909523811
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 517.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,1629, -0.0,6446,4817.0,0.0 ,62.61930361904764
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 500.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,1742, -0.0,6542,4800.0,0.0 ,62.662738142857165
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 59.0 ,0.0,1880, -0.0,6839,4959.0,0.0 ,62.706172666666696
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 123.0 ,0.0,2358, -0.0,7381,5023.0,0.0 ,62.74539290476193
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 578.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3009, -0.0,7887,4878.0,0.0 ,62.78004171428574
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 381.0 ,0.0,3443, -0.0,8124,4681.0,0.0 ,62.82347623809527
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 289.0 ,0.0,3723, -0.0,8312,4589.0,0.0 ,62.83969647619051
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 463.0 ,0.0,3786, -0.0,8549,4763.0,0.0 ,62.862488142857174
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 514.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4025, -0.0,8239,4214.0,0.0 ,62.87285123809527
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 503.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4191, -0.0,8004,3813.0,0.0 ,62.9162857619048
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 362.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4255, -0.0,7717,3462.0,0.0 ,62.959720285714326
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4255, -65.0,7500,3310.0,0.0 ,63.003154809523856
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4150, -32.0,7428,3310.0,0.0 ,63.04658933333338
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 92.0 ,0.0,3819, -0.0,7611,3792.0,0.0 ,63.09002385714291
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 657.0 ,0.0,3244, -0.0,7601,4357.0,0.0 ,63.126886952381014
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 826.0 ,0.0,2770, -0.0,7296,4526.0,0.0 ,63.123392904761964
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 886.25 ,72.75,2553, -0.0,7212,4659.0,0.0 ,63.10782742857148
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 1549.0 ,0.0,2520, -0.0,7769,5249.0,0.0 ,63.087958380952436
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 1836.0 ,0.0,2378, -0.0,7914,5536.0,0.0 ,63.0207500476191
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 1287.0 ,0.0,2303, -0.0,7290,4987.0,0.0 ,62.93304171428578
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 1107.0 ,0.0,2064, -0.0,6871,4807.0,0.0 ,62.884547666666734
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 544.0 ,-0.0,2272, -0.0,6516,4244.0,0.0 ,62.84891076190483
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , -0.0 , 0.0 , 0.0 , 0.0 , 179.0 ,0.0,2223, -0.0,6102,3879.0,0.0 ,62.853488142857216
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 590.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2209, -0.0,5899,3690.0,0.0 ,62.88413695238102
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 453.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2294, -0.0,5847,3553.0,0.0 ,62.92757147619055
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 242.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2446, -0.0,5788,3342.0,0.0 ,62.971006000000074
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 259.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2572, -0.0,5931,3359.0,0.0 ,63.0144405238096
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 424.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2848, -0.0,6372,3524.0,0.0 ,63.05787504761913
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 341.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3418, -0.0,6859,3441.0,0.0 ,63.10130957142866
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 325.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3762, -0.0,7187,3425.0,0.0 ,63.14474409523818
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4152, -13.0,7449,3310.0,0.0 ,63.188178619047704
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 395.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4292, -0.0,7787,3495.0,0.0 ,63.231613142857235
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4432, -326.0,7416,3310.0,0.0 ,63.275047666666765
